Recording,Recording1,Recording1,Recording1
Maximum_duration_of_Visit.な,,,
Maximum_duration_of_Visit.高,500,500,500
Maximum_duration_of_Visit.気,,,
Maximum_duration_of_Visit.圧,283,283,283
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.で,,,
Maximum_duration_of_Visit.き,,,
Maximum_duration_of_Visit.た,925,925,925
Maximum_duration_of_Visit.り,167,167,167
Maximum_duration_of_Visit.す,,,
Maximum_duration_of_Visit.る,,,
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.ほ,183,183,183
Maximum_duration_of_Visit.ぼ,,,
Maximum_duration_of_Visit.無,458,458,458
Maximum_duration_of_Visit.風,1208,1208,1208
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.な,,,
Maximum_duration_of_Visit.り,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.高,,,
Maximum_duration_of_Visit.気,233,233,233
Maximum_duration_of_Visit.圧,692,692,692
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.勢,167,167,167
Maximum_duration_of_Visit.力,358,358,358
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.強,,,
Maximum_duration_of_Visit.い,242,242,242
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.で,,,
Maximum_duration_of_Visit.天,242,242,242
Maximum_duration_of_Visit.気,,,
Maximum_duration_of_Visit.も,,,
Maximum_duration_of_Visit.し,,,
Maximum_duration_of_Visit.ば,,,
Maximum_duration_of_Visit.ら,183,183,183
Maximum_duration_of_Visit.く,,,
Maximum_duration_of_Visit.崩,,,
Maximum_duration_of_Visit.れ,,,
Maximum_duration_of_Visit.ず,333,333,333
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.西,,,
Maximum_duration_of_Visit.日,,,
Maximum_duration_of_Visit.本,,,
Maximum_duration_of_Visit.を,,,
Maximum_duration_of_Visit.中,167,167,167
Maximum_duration_of_Visit.心,,,
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.猛,,,
Maximum_duration_of_Visit.暑,,,
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.続,242,242,242
Maximum_duration_of_Visit.く,,,
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.こ,,,
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.よ,,,
Maximum_duration_of_Visit.う,,,
Maximum_duration_of_Visit.な,,,
Maximum_duration_of_Visit.気,,,
Maximum_duration_of_Visit.圧,,,
Maximum_duration_of_Visit.配,,,
Maximum_duration_of_Visit.置,583,583,583
Maximum_duration_of_Visit.を,500,500,500
Maximum_duration_of_Visit.等,,,
Maximum_duration_of_Visit.圧,,,
Maximum_duration_of_Visit.線,883,883,883
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.形,,,
Maximum_duration_of_Visit.か,,,
Maximum_duration_of_Visit.ら,,,
Maximum_duration_of_Visit.鯨,,,
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.尾,242,242,242
Maximum_duration_of_Visit.型,,,
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.い,1058,1058,1058
Maximum_duration_of_Visit.う,417,417,417
Maximum_duration_of_Visit.。,,,
Maximum_duration_of_Visit.風,,,
Maximum_duration_of_Visit.が,1308,1308,1308
Maximum_duration_of_Visit.弱,,,
Maximum_duration_of_Visit.く,,,
Maximum_duration_of_Visit.日,,,
Maximum_duration_of_Visit.射,375,375,375
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.強,292,292,292
Maximum_duration_of_Visit.け,150,150,150
Maximum_duration_of_Visit.れ,583,583,583
Maximum_duration_of_Visit.ば,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.昼,,,
Maximum_duration_of_Visit.間,1450,1450,1450
Maximum_duration_of_Visit.は,,,
Maximum_duration_of_Visit.海,742,742,742
Maximum_duration_of_Visit.風,1225,1225,1225
Maximum_duration_of_Visit.、,858,858,858
Maximum_duration_of_Visit.夜,175,175,175
Maximum_duration_of_Visit.間,,,
Maximum_duration_of_Visit.は,,,
Maximum_duration_of_Visit.陸,1083,1083,1083
Maximum_duration_of_Visit.風,,,
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.い,167,167,167
Maximum_duration_of_Visit.う,,,
Maximum_duration_of_Visit.海,,,
Maximum_duration_of_Visit.陸,100,100,100
Maximum_duration_of_Visit.風,358,358,358
Maximum_duration_of_Visit.が,183,183,183
Maximum_duration_of_Visit.は,183,183,183
Maximum_duration_of_Visit.っ,,,
Maximum_duration_of_Visit.き,,,
Maximum_duration_of_Visit.り,192,192,192
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.現,,,
Maximum_duration_of_Visit.れ,325,325,325
Maximum_duration_of_Visit.る,,,
Maximum_duration_of_Visit.地,300,300,300
Maximum_duration_of_Visit.域,292,292,292
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.多,208,208,208
Maximum_duration_of_Visit.い,267,267,267
Maximum_duration_of_Visit.。,150,150,150
Maximum_duration_of_Visit.8,,,
Maximum_duration_of_Visit.月,,,
Maximum_duration_of_Visit.7,,,
Maximum_duration_of_Visit.日,,,
Maximum_duration_of_Visit.前,,,
Maximum_duration_of_Visit.後,,,
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.立,450,450,450
Maximum_duration_of_Visit.秋,,,
Maximum_duration_of_Visit.の,842,842,842
Maximum_duration_of_Visit.頃,1700,1700,1700
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.最,175,175,175
Maximum_duration_of_Visit.も,,,
Maximum_duration_of_Visit.暑,258,258,258
Maximum_duration_of_Visit.く,,,
Maximum_duration_of_Visit.な,,,
Maximum_duration_of_Visit.る,692,692,692
Maximum_duration_of_Visit.。,,,
Maximum_duration_of_Visit.一,,,
Maximum_duration_of_Visit.方,158,158,158
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.日,,,
Maximum_duration_of_Visit.本,217,217,217
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.暑,,,
Maximum_duration_of_Visit.い,,,
Maximum_duration_of_Visit.夏,225,225,225
Maximum_duration_of_Visit.を,,,
Maximum_duration_of_Visit.も,,,
Maximum_duration_of_Visit.た,,,
Maximum_duration_of_Visit.ら,175,175,175
Maximum_duration_of_Visit.す,,,
Maximum_duration_of_Visit.気,,,
Maximum_duration_of_Visit.圧,,,
Maximum_duration_of_Visit.配,525,525,525
Maximum_duration_of_Visit.置,,,
Maximum_duration_of_Visit.は,,,
Maximum_duration_of_Visit.年,,,
Maximum_duration_of_Visit.に,642,642,642
Maximum_duration_of_Visit.よ,,,
Maximum_duration_of_Visit.っ,133,133,133
Maximum_duration_of_Visit.て,,,
Maximum_duration_of_Visit.は,200,200,200
Maximum_duration_of_Visit.崩,408,408,408
Maximum_duration_of_Visit.れ,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.太,,,
Maximum_duration_of_Visit.平,,,
Maximum_duration_of_Visit.洋,,,
Maximum_duration_of_Visit.高,,,
Maximum_duration_of_Visit.気,175,175,175
Maximum_duration_of_Visit.圧,,,
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.勢,,,
Maximum_duration_of_Visit.力,,,
Maximum_duration_of_Visit.が,908,908,908
Maximum_duration_of_Visit.弱,,,
Maximum_duration_of_Visit.い,317,317,317
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.オ,,,
Maximum_duration_of_Visit.ホ,,,
Maximum_duration_of_Visit.ー,,,
Maximum_duration_of_Visit.ツ,,,
Maximum_duration_of_Visit.ク,,,
Maximum_duration_of_Visit.海,575,575,575
Maximum_duration_of_Visit.高,,,
Maximum_duration_of_Visit.気,,,
Maximum_duration_of_Visit.圧,,,
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.北,242,242,242
Maximum_duration_of_Visit.か,208,208,208
Maximum_duration_of_Visit.ら,,,
Maximum_duration_of_Visit.張,200,200,200
Maximum_duration_of_Visit.り,142,142,142
Maximum_duration_of_Visit.出,183,183,183
Maximum_duration_of_Visit.し,,,
Maximum_duration_of_Visit.て,,,
Maximum_duration_of_Visit.長,,,
Maximum_duration_of_Visit.く,308,308,308
Maximum_duration_of_Visit.と,500,500,500
Maximum_duration_of_Visit.ど,,,
Maximum_duration_of_Visit.ま,,,
Maximum_duration_of_Visit.り,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.北,200,200,200
Maximum_duration_of_Visit.海,,,
Maximum_duration_of_Visit.道,,,
Maximum_duration_of_Visit.や,242,242,242
Maximum_duration_of_Visit.東,,,
Maximum_duration_of_Visit.北,,,
Maximum_duration_of_Visit.地,200,200,200
Maximum_duration_of_Visit.方,,,
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.や,550,550,550
Maximum_duration_of_Visit.ま,,,
Maximum_duration_of_Visit.せ,,,
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.呼,,,
Maximum_duration_of_Visit.ば,217,217,217
Maximum_duration_of_Visit.れ,,,
Maximum_duration_of_Visit.る,167,167,167
Maximum_duration_of_Visit.冷,,,
Maximum_duration_of_Visit.た,,,
Maximum_duration_of_Visit.い,250,250,250
Maximum_duration_of_Visit.北,,,
Maximum_duration_of_Visit.東,175,175,175
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.風,233,233,233
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.吹,233,233,233
Maximum_duration_of_Visit.き,342,342,342
Maximum_duration_of_Visit.込,,,
Maximum_duration_of_Visit.む,108,108,108
Maximum_duration_of_Visit.。,,,
Maximum_duration_of_Visit.そ,,,
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.よ,,,
Maximum_duration_of_Visit.う,,,
Maximum_duration_of_Visit.な,183,183,183
Maximum_duration_of_Visit.年,,,
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.は,242,242,242
Maximum_duration_of_Visit.梅,217,217,217
Maximum_duration_of_Visit.雨,,,
Maximum_duration_of_Visit.前,1325,1325,1325
Maximum_duration_of_Visit.線,,,
Maximum_duration_of_Visit.の,158,158,158
Maximum_duration_of_Visit.北,400,400,400
Maximum_duration_of_Visit.上,267,267,267
Maximum_duration_of_Visit.が,217,217,217
Maximum_duration_of_Visit.進,458,458,458
Maximum_duration_of_Visit.ま,,,
Maximum_duration_of_Visit.ず,,,
Maximum_duration_of_Visit.、,233,233,233
Maximum_duration_of_Visit.低,350,350,350
Maximum_duration_of_Visit.温,133,133,133
Maximum_duration_of_Visit.や,408,408,408
Maximum_duration_of_Visit.日,100,100,100
Maximum_duration_of_Visit.照,183,183,183
Maximum_duration_of_Visit.不,200,200,200
Maximum_duration_of_Visit.足,,,
Maximum_duration_of_Visit.に,175,175,175
Maximum_duration_of_Visit.よ,,,
Maximum_duration_of_Visit.り,,,
Maximum_duration_of_Visit.冷,,,
Maximum_duration_of_Visit.害,150,150,150
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.発,,,
Maximum_duration_of_Visit.生,,,
Maximum_duration_of_Visit.す,217,217,217
Maximum_duration_of_Visit.る,,,
Maximum_duration_of_Visit.。,,,
Maximum_duration_of_Visit.ま,,,
Maximum_duration_of_Visit.た,,,
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.主,,,
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.7,,,
Maximum_duration_of_Visit.月,,,
Maximum_duration_of_Visit.か,,,
Maximum_duration_of_Visit.ら,,,
Maximum_duration_of_Visit.9,,,
Maximum_duration_of_Visit.月,,,
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.は,375,375,375
Maximum_duration_of_Visit.、,,,
Maximum_duration_of_Visit.台,,,
Maximum_duration_of_Visit.風,175,175,175
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.日,,,
Maximum_duration_of_Visit.本,233,233,233
Maximum_duration_of_Visit.に,,,
Maximum_duration_of_Visit.接,,,
Maximum_duration_of_Visit.近,,,
Maximum_duration_of_Visit.す,,,
Maximum_duration_of_Visit.る,,,
Maximum_duration_of_Visit.こ,,,
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.が,,,
Maximum_duration_of_Visit.あ,,,
Maximum_duration_of_Visit.る,,,
Maximum_duration_of_Visit.。,,,
Maximum_duration_of_Visit.詳,,,
Maximum_duration_of_Visit.し,,,
Maximum_duration_of_Visit.く,,,
Maximum_duration_of_Visit.は,,,
Maximum_duration_of_Visit.#,,,
Maximum_duration_of_Visit.台,,,
Maximum_duration_of_Visit.風,,,
Maximum_duration_of_Visit.を,,,
Maximum_duration_of_Visit.参,,,
Maximum_duration_of_Visit.照,,,
Maximum_duration_of_Visit.の,,,
Maximum_duration_of_Visit.こ,,,
Maximum_duration_of_Visit.と,,,
Maximum_duration_of_Visit.。,,,
Number_of_Visits.梅雨明けと共に日本の真夏は始まる。,1,1,1
Number_of_Visits.大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,3,3,3
Number_of_Visits.梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。,7,7,7
Number_of_Visits.これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。,4,4,4
Number_of_Visits.日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。,6,6,6
Number_of_Visits.風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。,4,4,4
Number_of_Visits.さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。,5,5,5
Number_of_Visits.夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。,6,6,6
Number_of_Visits.このような夏の典型的な気圧配置を南高北低型という。,2,2,2
Number_of_Visits.高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,7,7,7
Number_of_Visits.風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。,7,7,7
Number_of_Visits.8月7日前後の立秋の頃が最も暑くなる。,2,2,2
Number_of_Visits.一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,8,8,8
Number_of_Visits.そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。,4,4,4
Number_of_Visits.また、主に7月から9月には、台風が日本に接近することがある。,1,1,1
Number_of_Visits.詳しくは#台風を参照のこと。,0,0,0
Number_of_Visits.梅,0,0,0
Number_of_Visits.雨,0,0,0
Number_of_Visits.明,0,0,0
Number_of_Visits.け,1,1,1
Number_of_Visits.と,0,0,0
Number_of_Visits.共,0,0,0
Number_of_Visits.に,1,1,1
Number_of_Visits.日,0,0,0
Number_of_Visits.本,0,0,0
Number_of_Visits.の,0,0,0
Number_of_Visits.真,1,1,1
Number_of_Visits.夏,0,0,0
Number_of_Visits.は,1,1,1
Number_of_Visits.始,0,0,0
Number_of_Visits.ま,0,0,0
Number_of_Visits.る,0,0,0
Number_of_Visits.。,1,1,1
Number_of_Visits.大,0,0,0
Number_of_Visits.暑,0,0,0
Number_of_Visits.（,0,0,0
Number_of_Visits.7,0,0,0
Number_of_Visits.月,0,0,0
Number_of_Visits.2,0,0,0
Number_of_Visits.3,0,0,0
Number_of_Visits.日,0,0,0
Number_of_Visits.頃,0,0,0
Number_of_Visits.）,0,0,0
Number_of_Visits.の,0,0,0
Number_of_Visits.頃,0,0,0
Number_of_Visits.に,0,0,0
Number_of_Visits.は,0,0,0
Number_of_Visits.日,0,0,0
Number_of_Visits.本,0,0,0
Number_of_Visits.の,0,0,0
Number_of_Visits.大,2,2,2
Number_of_Visits.部,1,1,1
Number_of_Visits.分,0,0,0
Number_of_Visits.は,0,0,0
Number_of_Visits.梅,0,0,0
Number_of_Visits.雨,1,1,1
Number_of_Visits.明,0,0,0
Number_of_Visits.け,0,0,0
Number_of_Visits.し,0,0,0
Number_of_Visits.、,0,0,0
Number_of_Visits.本,0,0,0
Number_of_Visits.格,0,0,0
Number_of_Visits.的,0,0,0
Number_of_Visits.な,1,1,1
Number_of_Visits.夏,0,0,0
Number_of_Visits.の,0,0,0
Number_of_Visits.暑,0,0,0
Number_of_Visits.さ,0,0,0
Number_of_Visits.を,1,1,1
Number_of_Visits.迎,0,0,0
Number_of_Visits.え,0,0,0
Number_of_Visits.る,0,0,0
Number_of_Visits.。,0,0,0
Number_of_Visits.梅,0,0,0
Number_of_Visits.雨,0,0,0
Number_of_Visits.明,0,0,0
Number_of_Visits.け,1,1,1
Number_of_Visits.の,0,0,0
Number_of_Visits.直,0,0,0
Number_of_Visits.後,1,1,1
Number_of_Visits.は,0,0,0
Number_of_Visits.、,0,0,0
Number_of_Visits.梅,0,0,0
Number_of_Visits.雨,0,0,0
Number_of_Visits.明,1,1,1
Number_of_Visits.け,0,0,0
Number_of_Visits.十,0,0,0
Number_of_Visits.日,1,1,1
Number_of_Visits.と,0,0,0
Number_of_Visits.い,1,1,1
Number_of_Visits.い,0,0,0
Number_of_Visits.、,0,0,0
Number_of_Visits.太,0,0,0
Number_of_Visits.平,0,0,0
Number_of_Visits.洋,1,1,1
Number_of_Visits.高,0,0,0
Number_of_Visits.気,0,0,0
Number_of_Visits.圧,1,1,1
Number_of_Visits.の,1,1,1
Number_of_Visits.勢,0,0,0
Number_of_Visits.力,0,0,0
Number_of_Visits.が,2,2,2
Number_of_Visits.強,0,0,0
Number_of_Visits.く,0,0,0
Number_of_Visits.気,1,1,1
Number_of_Visits.圧,0,0,0
Number_of_Visits.配,1,1,1
Number_of_Visits.置,0,0,0
Number_of_Visits.が,0,0,0
Number_of_Visits.安,0,0,0
Number_of_Visits.定,0,0,0
Number_of_Visits.し,0,0,0
Number_of_Visits.て,0,0,0
Number_of_Visits.い,0,0,0
Number_of_Visits.る,0,0,0
Number_of_Visits.の,0,0,0
Number_of_Visits.で,0,0,0
Number_of_Visits.穏,1,1,1
Number_of_Visits.や,1,1,1
Number_of_Visits.か,0,0,0
Number_of_Visits.な,2,2,2
Number_of_Visits.晴,1,1,1
Number_of_Visits.天,0,0,0
Number_of_Visits.が,1,1,1
Number_of_Visits.続,2,2,2
Number_of_Visits.く,0,0,0
Number_of_Visits.こ,1,1,1
Number_of_Visits.と,0,0,0
Number_of_Visits.が,2,2,2
Number_of_Visits.多,0,0,0
Number_of_Visits.く,0,0,0
Number_of_Visits.、,1,1,1
Number_of_Visits.夕,1,1,1
Number_of_Visits.立,0,0,0
Number_of_Visits.も,0,0,0
Number_of_Visits.発,3,3,3
Number_of_Visits.生,0,0,0
Number_of_Visits.し,0,0,0
Number_of_Visits.に,1,1,1
Number_of_Visits.く,0,0,0
Number_of_Visits.い,1,1,1
Number_of_Visits.の,1,1,1
Number_of_Visits.で,0,0,0
Number_of_Visits.、,0,0,0
Number_of_Visits.レ,0,0,0
Number_of_Visits.ジ,0,0,0
Number_of_Visits.ャ,0,0,0
Number_of_Visits.ー,0,0,0
Number_of_Visits.に,0,0,0
Number_of_Visits.は,0,0,0
Number_of_Visits.最,3,3,3
Number_of_Visits.適,0,0,0
Number_of_Visits.だ,0,0,0
Number_of_Visits.と,0,0,0
Number_of_Visits.い,1,1,1
Number_of_Visits.う,0,0,0
Number_of_Visits.意,0,0,0
Number_of_Visits.見,0,0,0
Number_of_Visits.も,1,1,1
Number_of_Visits.あ,0,0,0
Number_of_Visits.る,0,0,0
Number_of_Visits.。,0,0,0
Number_of_Visits.こ,1,1,1
Number_of_Visits.れ,0,0,0
Number_of_Visits.は,0,0,0
Number_of_Visits.、,1,1,1
Number_of_Visits.梅,0,0,0
Number_of_Visits.雨,0,0,0
Number_of_Visits.前,1,1,1
Number_of_Visits.線,0,0,0
Number_of_Visits.を,0,0,0
Number_of_Visits.押,0,0,0
Number_of_Visits.し,0,0,0
Number_of_Visits.上,1,1,1
Number_of_Visits.げ,0,0,0
Number_of_Visits.た,0,0,0
Number_of_Visits.小,0,0,0
Number_of_Visits.笠,0,0,0
Number_of_Visits.原,1,1,1
Number_of_Visits.高,1,1,1
Number_of_Visits.気,2,2,2
Number_of_Visits.圧,0,0,0
Number_of_Visits.の,1,1,1
Number_of_Visits.強,2,2,2
Number_of_Visits.い,1,1,1
Number_of_Visits.状,3,3,3
Number_of_Visits.態,1,1,1
Number_of_Visits.が,2,2,2
Number_of_Visits.、,0,0,0
Number_of_Visits.小,1,1,1
Number_of_Visits.笠,0,0,0
Number_of_Visits.原,1,1,1
Number_of_Visits.高,1,1,1
Number_of_Visits.気,1,1,1
Number_of_Visits.圧,1,1,1
Number_of_Visits.の,0,0,0
Number_of_Visits.活,0,0,0
Number_of_Visits.動,2,2,2
Number_of_Visits.の,1,1,1
Number_of_Visits.強,1,1,1
Number_of_Visits.弱,2,2,2
Number_of_Visits.の,0,0,0
Number_of_Visits.周,2,2,2
Number_of_Visits.期,0,0,0
Number_of_Visits.、,1,1,1
Number_of_Visits.つ,0,0,0
Number_of_Visits.ま,0,0,0
Number_of_Visits.り,0,0,0
Number_of_Visits.1,0,0,0
Number_of_Visits.0,0,0,0
Number_of_Visits.日,1,1,1
Number_of_Visits.く,0,0,0
Number_of_Visits.ら,0,0,0
Number_of_Visits.い,0,0,0
Number_of_Visits.続,0,0,0
Number_of_Visits.く,1,1,1
Number_of_Visits.た,0,0,0
Number_of_Visits.め,0,0,0
Number_of_Visits.で,1,1,1
Number_of_Visits.あ,0,0,0
Number_of_Visits.る,0,0,0
Number_of_Visits.。,0,0,0
Number_of_Visits.日,0,0,0
Number_of_Visits.本,0,0,0
Number_of_Visits.列,1,1,1
Number_of_Visits.島,0,0,0
Number_of_Visits.に,1,1,1
Number_of_Visits.張,0,0,0
Number_of_Visits.り,1,1,1
Number_of_Visits.出,1,1,1
Number_of_Visits.し,1,1,1
Number_of_Visits.て,0,0,0
Number_of_Visits.く,1,1,1
Number_of_Visits.る,0,0,0
Number_of_Visits.小,0,0,0
Number_of_Visits.笠,0,0,0
Number_of_Visits.原,1,1,1
Number_of_Visits.高,1,1,1
Number_of_Visits.気,0,0,0
Number_of_Visits.圧,0,0,0
Number_of_Visits.か,1,1,1
Number_of_Visits.ら,0,0,0
Number_of_Visits.暖,0,0,0
Number_of_Visits.か,1,1,1
Number_of_Visits.く,0,0,0
Number_of_Visits.湿,0,0,0
Number_of_Visits.っ,0,0,0
Number_of_Visits.た,1,1,1
Number_of_Visits.空,0,0,0
Number_of_Visits.気,0,0,0
Number_of_Visits.が,0,0,0
Number_of_Visits.日,1,1,1
Number_of_Visits.本,0,0,0
Number_of_Visits.列,0,0,0
Number_of_Visits.島,0,0,0
Number_of_Visits.に,1,1,1
Number_of_Visits.入,0,0,0
Number_of_Visits.り,1,1,1
Number_of_Visits.、,0,0,0
Number_of_Visits.気,0,0,0
Number_of_Visits.圧,0,0,0
Number_of_Visits.の,2,2,2
Number_of_Visits.差,2,2,2
Number_of_Visits.が,0,0,0
Number_of_Visits.小,0,0,0
Number_of_Visits.さ,1,1,1
Number_of_Visits.く,0,0,0
Number_of_Visits.、,0,0,0
Number_of_Visits.等,0,0,0
Number_of_Visits.圧,2,2,2
Number_of_Visits.線,1,1,1
Number_of_Visits.の,0,0,0
Number_of_Visits.間,2,2,2
Number_of_Visits.隔,1,1,1
Number_of_Visits.が,1,1,1
Number_of_Visits.広,0,0,0
Number_of_Visits.い,0,0,0
Number_of_Visits.た,0,0,0
Number_of_Visits.め,1,1,1
Number_of_Visits.に,0,0,0
Number_of_Visits.風,0,0,0
Number_of_Visits.も,0,0,0
Number_of_Visits.弱,1,1,1
Number_of_Visits.い,0,0,0
Number_of_Visits.の,0,0,0
Number_of_Visits.で,1,1,1
Number_of_Visits.非,0,0,0
Number_of_Visits.常,0,0,0
Number_of_Visits.に,0,0,0
Number_of_Visits.蒸,1,1,1
Number_of_Visits.し,0,0,0
Number_of_Visits.暑,0,0,0
Number_of_Visits.く,1,1,1
Number_of_Visits.な,1,1,1
Number_of_Visits.る,0,0,0
Number_of_Visits.。,0,0,0
Number_of_Visits.風,0,0,0
Number_of_Visits.が,3,3,3
Number_of_Visits.弱,1,1,1
Number_of_Visits.い,3,3,3
Number_of_Visits.上,2,2,2
Number_of_Visits.に,0,0,0
Number_of_Visits.湿,1,1,1
Number_of_Visits.度,2,2,2
Number_of_Visits.が,0,0,0
Number_of_Visits.高,1,1,1
Number_of_Visits.い,2,2,2
Number_of_Visits.た,0,0,0
Number_of_Visits.め,0,0,0
Number_of_Visits.、,0,0,0
Number_of_Visits.体,1,1,1
Number_of_Visits.感,2,2,2
Number_of_Visits.温,3,3,3
Number_of_Visits.度,2,2,2
Number_of_Visits.は,2,2,2
Number_of_Visits.熱,0,0,0
Number_of_Visits.帯,3,3,3
Number_of_Visits.地,0,0,0
Number_of_Visits.方,2,2,2
Number_of_Visits.を,2,2,2
Number_of_Visits.上,0,0,0
Number_of_Visits.回,2,2,2
Number_of_Visits.る,0,0,0
Number_of_Visits.ほ,1,1,1
Number_of_Visits.ど,0,0,0
Number_of_Visits.で,2,2,2
Number_of_Visits.あ,0,0,0
Number_of_Visits.る,0,0,0
Number_of_Visits.。,0,0,0
Number_of_Visits.さ,0,0,0
Number_of_Visits.ら,1,1,1
Number_of_Visits.に,0,0,0
Number_of_Visits.、,0,0,0
Number_of_Visits.高,0,0,0
Number_of_Visits.い,1,1,1
Number_of_Visits.湿,1,1,1
Number_of_Visits.度,1,1,1
Number_of_Visits.が,1,1,1
Number_of_Visits.局,0,0,0
Number_of_Visits.地,1,1,1
Number_of_Visits.的,2,2,2
Number_of_Visits.に,0,0,0
Number_of_Visits.積,0,0,0
Number_of_Visits.乱,2,2,2
Number_of_Visits.雲,1,1,1
Number_of_Visits.を,0,0,0
Number_of_Visits.発,0,0,0
Number_of_Visits.生,1,1,1
Number_of_Visits.さ,1,1,1
Number_of_Visits.せ,0,0,0
Number_of_Visits.、,1,1,1
Number_of_Visits.雷,0,0,0
Number_of_Visits.を,2,2,2
Number_of_Visits.伴,0,0,0
Number_of_Visits.い,3,3,3
Number_of_Visits.激,0,0,0
Number_of_Visits.し,0,0,0
Number_of_Visits.く,0,0,0
Number_of_Visits.雨,1,1,1
Number_of_Visits.が,0,0,0
Number_of_Visits.降,0,0,0
Number_of_Visits.る,0,0,0
Number_of_Visits.夕,0,0,0
Number_of_Visits.立,1,1,1
Number_of_Visits.が,0,0,0
Number_of_Visits.起,0,0,0
Number_of_Visits.こ,0,0,0
Number_of_Visits.り,1,1,1
Number_of_Visits.や,1,1,1
Number_of_Visits.す,0,0,0
Number_of_Visits.い,0,0,0
Number_of_Visits.。,0,0,0
Number_of_Visits.夏,0,0,0
Number_of_Visits.の,2,2,2
Number_of_Visits.強,0,0,0
Number_of_Visits.い,1,1,1
Number_of_Visits.日,1,1,1
Number_of_Visits.射,0,0,0
Number_of_Visits.で,2,2,2
Number_of_Visits.暖,1,1,1
Number_of_Visits.ま,0,0,0
Number_of_Visits.っ,0,0,0
